Dataset,Category,Subgroup,Score,Endpoint,N,N_events,Is_Testable,Effect_r,Wilcoxon_FDR_P,HR_perSD,HR_lower,HR_upper,Cox_FDR_P,C_index,KM_logrank_FDR_P
GSE39582,MSI,All MSS,Up_ssGSEA,RFS,454,141,TRUE,-0.18,0.016,1.28,1.08,1.51,0.021,0.57,0.078
TCGA-COAD,MSI,All MSS,Up_ssGSEA,RFS,122,27,TRUE,-0.33,0.27,1.55,1,2.43,0.234,0.6,0.45
GSE39582,MSI,All MSS,Down_ssGSEA,OS,459,97,TRUE,0.08,0.302,0.93,0.76,1.14,0.499,0.53,0.344
TCGA-COAD,MSI,All MSS,Down_ssGSEA,OS,122,20,TRUE,-0.08,0.838,1.21,0.75,1.94,0.711,0.55,0.982
GSE39582,MSI,All MSS,Down_ssGSEA,RFS,454,141,TRUE,-0.03,0.631,1.04,0.88,1.23,0.713,0.5,0.598
TCGA-COAD,MSI,All MSS,Down_ssGSEA,RFS,122,27,TRUE,-0.09,0.693,1.52,1,2.32,0.234,0.61,0.45
GSE39582,MSI,All MSS,Composite_ssGSEA,OS,459,97,TRUE,-0.15,0.095,1.27,1.04,1.55,0.054,0.57,0.175
TCGA-COAD,MSI,All MSS,Composite_ssGSEA,OS,122,20,TRUE,-0.12,0.838,1.26,0.78,2.04,0.711,0.55,0.863
GSE39582,MSI,All MSS,Composite_ssGSEA,RFS,454,141,TRUE,-0.12,0.079,1.18,1,1.4,0.086,0.56,0.064
TCGA-COAD,MSI,All MSS,Composite_ssGSEA,RFS,122,27,TRUE,-0.29,0.27,1.18,0.79,1.78,0.548,0.52,0.747
