"Dataset","Metric","Score","Model","HR","HR_lower","HR_upper","Raw_P","C_index","LRT_score_P","PH_P","Unadj_HR","Delta_logHR","Delta_logHR_pct","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582 (treated)","RFS","Composite_ssGSEA","Clinicopath",1022.46835651247,1.03343632927975,1011616.7880395,0.0489174710851798,0.589553928598385,0.0519111012804581,0.731378812790073,806.314776137243,0.237500732883512,3.54877322682343,224,75,TRUE,0.0733762066277697,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","CMS_adjusted",95.5189308424828,0.0389253365275584,234394.021046715,0.252268104329897,0.56940310198966,0.254748962331183,0.311068771932659,409.806175057884,-1.45635984759947,-24.2093795811843,217,75,TRUE,0.378402156494846,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","PDS_adjusted",1.35970672026617,0.000190413959136952,9709.38461400971,0.945890338954985,0.587527593818985,0.945907352407549,0.431419877198962,184.750834133651,-4.9117390451202,-94.1125013560274,183,63,TRUE,0.945890338954985,FALSE
"TCGA-COAD","OS","Up_ssGSEA","Clinicopath",32252.6468206063,0.0276262672767391,37653774088.0622,0.145268742877177,0.694104134762634,0.129514821834749,0.953206295553246,33955.5461074194,-0.0514520898751787,-0.493175877829817,198,35,TRUE,0.338260137335558,FALSE
"TCGA-COAD","OS","Up_ssGSEA","CMS_adjusted",593701.459504151,14.2459412646651,24742585728.0232,0.0143089370040381,0.612865714684404,0.0136254364717228,0.858163122110396,2180042.98174977,-1.30072327239487,-8.91220405368964,425,69,TRUE,0.0429268110121144,TRUE
"TCGA-COAD","OS","Up_ssGSEA","PDS_adjusted",1070516.94462211,12.1443266658588,94365588167.5861,0.0168603420142286,0.581335256294694,0.0152982092838201,0.861432359202499,177491.878336828,1.79697208458353,14.8673752023465,357,65,TRUE,0.0505810260426858,FALSE
"TCGA-COAD","OS","Down_ssGSEA","Clinicopath",264190.371377285,0.000450887069358683,154798301108396,0.225506758223705,0.686064318529862,0.216646447058757,0.536966546770769,107281.281011265,0.901215767254783,7.78036320993479,198,35,TRUE,0.338260137335558,FALSE
"TCGA-COAD","OS","Down_ssGSEA","CMS_adjusted",11650.318921157,0.00187833809964815,72260649448.6232,0.240666063888722,0.57607330573515,0.239386298758134,0.819986759060369,13592.5408748931,-0.154187622355002,-1.62008136534553,425,69,TRUE,0.240666063888722,FALSE
"TCGA-COAD","OS","Down_ssGSEA","PDS_adjusted",349233.153409772,0.0393191844169738,3101890266774.78,0.117924558013472,0.564990084730485,0.115622815325193,0.822175122110999,212620.586147924,0.496230468851776,4.04515991315646,357,65,TRUE,0.176886837020208,FALSE
"TCGA-COAD","OS","Composite_ssGSEA","Clinicopath",229.544507720271,0.000183579090910597,287018966.937809,0.447895929165393,0.676493108728943,0.444476150504515,0.745122899115438,955.258027243398,-1.42588454546275,-20.7794869109963,198,35,TRUE,0.447895929165393,FALSE
