"Dataset","Metric","Score","Model","HR","HR_lower","HR_upper","Raw_P","C_index","LRT_score_P","PH_P","Unadj_HR","Delta_logHR","Delta_logHR_pct","N","N_events","Is_Testable","FDR_P","Is_Significant"
"TCGA-COAD","OS","Down_ssGSEA","PDS_adjusted",83709.5695081661,0.0564787301910976,124069574573.173,0.117924558013472,0.564990084730485,0.115622815325151,0.822175122111002,53874.4805956533,0.440696394540055,4.04515991315651,357,65,TRUE,0.173434222987727,FALSE
"TCGA-COAD","OS","Composite_ssGSEA","Clinicopath",124.927457501309,0.000480779238042334,32461613.1538673,0.447895929165393,0.676493108728943,0.444476150504493,0.745122899115438,443.210303870056,-1.26631115511676,-20.7794869109965,198,35,TRUE,0.444476150504493,FALSE
"TCGA-COAD","OS","Composite_ssGSEA","CMS_adjusted",1248.00294627747,0.217628997960484,7156727.12971845,0.106397412048016,0.589980929345551,0.109422818626014,0.985313329696224,4631.15533261915,-1.31126173810973,-15.5352427103708,425,69,TRUE,0.164134227939021,FALSE
"TCGA-COAD","OS","Composite_ssGSEA","PDS_adjusted",315.750629296183,0.0372211178998562,2678545.55495015,0.212423929658914,0.546121026380626,0.213392895907627,0.968612714258224,468.438651682093,-0.394452392605747,-6.41448047714826,357,65,TRUE,0.213392895907627,FALSE
"TCGA-COAD","RFS","Up_ssGSEA","Clinicopath",249206.130000712,4.21551958122267,14732156744.4645,0.0266490953435937,0.717755317544124,0.0197064839598852,0.968021063383097,185704.938930162,0.294121321039315,2.42436035004169,198,49,TRUE,0.0591194518796555,FALSE
"TCGA-COAD","RFS","Up_ssGSEA","CMS_adjusted",16093.1162959485,6.83684427353606,37881277.0560553,0.0144750903449225,0.607604742018052,0.0132031717806243,0.795923699152201,106000.986359205,-1.88505677804125,-16.2909307488216,425,103,TRUE,0.0396095153418728,TRUE
"TCGA-COAD","RFS","Up_ssGSEA","PDS_adjusted",9198.44063385428,1.7231394523356,49102996.2664117,0.0371394670052636,0.571526980482204,0.0341603218590909,0.893393311494344,6033.23007041866,0.421751439311704,4.84491220336769,357,90,TRUE,0.102480965577273,FALSE
"TCGA-COAD","RFS","Down_ssGSEA","Clinicopath",110827.922273542,0.0330013444837987,372191756051.035,0.129762213185786,0.703424347563735,0.121841014462659,0.911695141877615,24238.6393816522,1.52003072013814,15.056214251173,198,49,TRUE,0.161445443488813,FALSE
"TCGA-COAD","RFS","Down_ssGSEA","CMS_adjusted",54033.1420188334,0.622844546950369,4687494577.45524,0.0603326278812935,0.593324801293278,0.0593345203325059,0.631684277994517,52118.8591991544,0.0360707353417524,0.332103842499782,425,103,TRUE,0.0890017804987589,FALSE
"TCGA-COAD","RFS","Down_ssGSEA","PDS_adjusted",70916.3262832606,0.381378971362265,13186687550.0506,0.0711923642883011,0.561974741676234,0.0694001368493584,0.952191370657996,32706.9609057045,0.773912752024531,7.44480231860372,357,90,TRUE,0.104100205274038,FALSE
"TCGA-COAD","RFS","Composite_ssGSEA","Clinicopath",2199.20825860816,0.0393817586555488,122811096.554442,0.167593042814727,0.697691959571579,0.161445443488813,0.986883262804865,13205.3371511925,-1.79252366436871,-18.8917850327726,198,49,TRUE,0.161445443488813,FALSE
"TCGA-COAD","RFS","Composite_ssGSEA","CMS_adjusted",79.7060905256455,0.0598705627956539,106113.264519765,0.232920644172222,0.582581166644214,0.235385127169076,0.934891801875101,488.276604729907,-1.81253605723143,-29.2775090880155,425,103,TRUE,0.235385127169076,FALSE
"TCGA-COAD","RFS","Composite_ssGSEA","PDS_adjusted",24.4743108622885,0.0108573104423643,55169.4542919871,0.416929222247852,0.534741676234214,0.417471340887973,0.971797190790751,73.4080928028141,-1.09841015449296,-25.568003116599,357,90,TRUE,0.417471340887973,FALSE
